season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified
2017,REG,CIN,1,00-0030549,TE,Tyler Eifert,Tyler,Eifert,,,,Knee,,Full Participation in Practice,2017-09-08T09:30:05Z
2017,REG,CIN,1,00-0031301,RB,Jeremy Hill,Jeremy,Hill,,,,Ankle,,Full Participation in Practice,2017-09-08T09:30:05Z
2017,REG,CIN,1,00-0029215,S,George Iloka,George,Iloka,,,,Knee,,Full Participation in Practice,2017-09-08T09:30:05Z
2017,REG,CIN,1,00-0032134,TE,C.J. Uzomah,C.J.,Uzomah,Ankle,,Out,Ankle,,Did Not Participate In Practice,2017-09-08T09:33:21Z
2017,REG,CIN,1,00-0030471,S,Shawn Williams,Shawn,Williams,Elbow,,Out,Elbow,,Did Not Participate In Practice,2017-09-08T09:33:25Z
2017,REG,CIN,1,00-0033460,WR,John Ross,John,Ross,Knee,,Questionable,Knee,,Limited Participation in Practice,2017-09-08T09:33:03Z
2017,REG,CLE,1,00-0031343,S,Calvin Pryor,Calvin,Pryor,,,,Not Injury Related,,Did Not Participate In Practice,2017-09-07T12:04:14Z
2017,REG,CLE,1,00-0031426,G,Joel Bitonio,Joel,Bitonio,,,,Knee,,Full Participation in Practice,2017-09-08T13:59:23Z
2017,REG,CLE,1,00-0033962,DT,Caleb Brantley,Caleb,Brantley,,,,Finger,,Full Participation in Practice,2017-09-08T13:13:08Z
2017,REG,CLE,1,00-0027006,WR,Kenny Britt,Kenny,Britt,,,,Knee,,Full Participation in Practice,2017-09-08T13:13:08Z
2017,REG,CLE,1,00-0031337,C,Marcus Martin,Marcus,Martin,,,,Toe,,Full Participation in Practice,2017-09-08T13:13:08Z
2017,REG,CLE,1,00-0031556,DE,Nate Orchard,Nate,Orchard,,,,Groin,,Full Participation in Practice,2017-09-08T13:13:32Z
2017,REG,CLE,1,00-0031533,TE,Randall Telfer,Randall,Telfer,,,,Knee,,Full Participation in Practice,2017-09-08T13:13:08Z
2017,REG,CLE,1,00-0025390,T,Joe Thomas,Joe,Thomas,,,,Knee,,Full Participation in Practice,2017-09-08T13:13:08Z
2017,REG,CLE,1,00-0032794,RB,Dan Vitale,Dan,Vitale,,,,Ankle,,Full Participation in Practice,2017-09-08T13:13:08Z
2017,REG,CLE,1,00-0033868,DE,Myles Garrett,Myles,Garrett,Ankle,,Out,Ankle,,Did Not Participate In Practice,2017-09-08T13:13:57Z
2017,REG,CLE,1,00-0032143,DT,Danny Shelton,Danny,Shelton,Knee,,Questionable,Knee,,Limited Participation in Practice,2017-09-08T13:14:56Z
2017,REG,DAL,1,00-0033548,CB,Chidobe Awuzie,Chidobe,Awuzie,,,,Hamstring,,Full Participation in Practice,2017-09-08T12:19:56Z
2017,REG,DAL,1,00-0033541,DE,Taco Charlton,Taco,Charlton,,,,Shoulder,,Full Participation in Practice,2017-09-08T12:19:56Z
2017,REG,DAL,1,00-0029641,DT,Tyrone Crawford,Tyrone,Crawford,,,,Ankle,,Full Participation in Practice,2017-09-08T12:19:56Z
2017,REG,DAL,1,00-0032204,T,Chaz Green,Chaz,Green,,,,Ankle,,Full Participation in Practice,2017-09-08T12:19:56Z
2017,REG,DAL,1,00-0029634,TE,James Hanna,James,Hanna,,,,Hamstring,,Full Participation in Practice,2017-09-08T12:19:56Z
2017,REG,DAL,1,00-0030968,RB,Keith Smith,Keith,Smith,,,,Knee,,Full Participation in Practice,2017-09-08T12:19:56Z
2017,REG,DAL,1,00-0033579,S,Xavier Woods,Xavier,Woods,,,,Hamstring,,Full Participation in Practice,2017-09-08T12:19:56Z
2017,REG,DAL,1,00-0031348,LB,Anthony Hitchens,Anthony,Hitchens,Ankle,,Out,Ankle,,Did Not Participate In Practice,2017-09-08T12:21:16Z
2017,REG,DAL,1,00-0033928,CB,Jourdan Lewis,Jourdan,Lewis,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2017-09-08T12:21:57Z
2017,REG,DEN,1,00-0026213,RB,Jamaal Charles,Jamaal,Charles,,,,Knee,,Full Participation in Practice,2017-09-09T11:11:47Z
2017,REG,DEN,1,00-0032943,P,Riley Dixon,Riley,Dixon,,,,right Hip,,Full Participation in Practice,2017-09-09T11:11:47Z
2017,REG,DEN,1,00-0033064,DE,Adam Gotsis,Adam,Gotsis,,,,Shoulder,,Full Participation in Practice,2017-09-09T11:11:55Z
2017,REG,DEN,1,00-0031349,C,Matt Paradis,Matt,Paradis,,,,Elbow,,Full Participation in Practice,2017-09-09T11:11:47Z
2017,REG,DEN,1,00-0026160,CB,Aqib Talib,Aqib,Talib,,,,Achilles,,Full Participation in Practice,2017-09-09T11:11:47Z
2017,REG,DEN,1,00-0027874,WR,Demaryius Thomas,Demaryius,Thomas,,,,Hamstring,,Full Participation in Practice,2017-09-09T11:11:47Z
2017,REG,DEN,1,00-0029586,DE,Derek Wolfe,Derek,Wolfe,,,,Ankle,,Full Participation in Practice,2017-09-09T11:11:47Z
2017,REG,DEN,1,00-0032972,RB,Devontae Booker,Devontae,Booker,Wrist,,Out,Wrist,,Did Not Participate In Practice,2017-09-09T11:12:14Z
2017,REG,DEN,1,00-0029417,DE,Jared Crick,Jared,Crick,Back,,Out,Back,,Did Not Participate In Practice,2017-09-09T11:12:19Z
2017,REG,DEN,1,00-0031105,DT,Zach Kerr,Zach,Kerr,Knee,,Out,Knee,,Did Not Participate In Practice,2017-09-09T11:12:25Z
2017,REG,DEN,1,00-0033108,QB,Paxton Lynch,Paxton,Lynch,right Shoulder,,Out,right Shoulder,,Did Not Participate In Practice,2017-09-09T11:12:29Z
2017,REG,DEN,1,00-0032463,DT,Kyle Peko,Kyle,Peko,Foot,,Questionable,Foot,,Limited Participation in Practice,2017-09-09T11:12:09Z
2017,REG,DET,1,00-0027078,G,T.J. Lang,T.J.,Lang,,,,Not Injury Related,,Did Not Participate In Practice,2017-09-08T13:02:08Z
2017,REG,DET,1,00-0024227,DT,Haloti Ngata,Haloti,Ngata,,,,Not Injury Related,,Did Not Participate In Practice,2017-09-08T13:02:19Z
2017,REG,DET,1,00-0031665,RB,Zach Zenner,Zach,Zenner,,,,Back,,Full Participation in Practice,2017-09-08T13:01:53Z
2017,REG,DET,1,00-0030059,DE,Ezekiel Ansah,Ezekiel,Ansah,Knee,,Questionable,Knee,,Limited Participation in Practice,2017-09-08T13:02:22Z
2017,REG,DET,1,00-0033932,WR,Kenny Golladay,Kenny,Golladay,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2017-09-08T13:02:22Z
2017,REG,DET,1,00-0031627,T,Corey Robinson,Corey,Robinson,Foot,,Questionable,Foot,,Limited Participation in Practice,2017-09-08T13:02:22Z
2017,REG,GB,1,00-0028069,CB,Davon House,Davon,House,,,,Hamstring,,Full Participation in Practice,2017-09-08T12:52:57Z
2017,REG,GB,1,00-0033524,CB,Kevin King,Kevin,King,,,,Groin,,Full Participation in Practice,2017-09-08T12:52:57Z
2017,REG,GB,1,00-0027002,LB,Clay Matthews,Clay,Matthews,,,,Groin,,Full Participation in Practice,2017-09-08T12:52:57Z
2017,REG,GB,1,00-0029408,LB,Nick Perry,Nick,Perry,,,,Ankle,,Full Participation in Practice,2017-09-08T12:52:57Z
2017,REG,GB,1,00-0033929,DE,Montravius Adams,Montravius,Adams,Foot,,Out,Foot,,Limited Participation in Practice,2017-09-08T12:53:29Z
2017,REG,GB,1,00-0027875,T,Bryan Bulaga,Bryan,Bulaga,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2017-09-08T12:53:21Z
2017,REG,HOU,1,00-0031302,TE,C.J. Fiedorowicz,C.J.,Fiedorowicz,,,,Concussion,,Full Participation in Practice,2017-09-06T14:04:53Z
2017,REG,HOU,1,00-0033925,RB,D'Onta Foreman,D'Onta,Foreman,,,,Groin,,Full Participation in Practice,2017-09-06T14:05:08Z
2017,REG,HOU,1,00-0030564,WR,DeAndre Hopkins,DeAndre,Hopkins,,,,Thumb,,Full Participation in Practice,2017-09-06T14:05:21Z
2017,REG,HOU,1,00-0033069,WR,Braxton Miller,Braxton,Miller,,,,Ankle,,Full Participation in Practice,2017-09-06T14:05:39Z
2017,REG,HOU,1,00-0031075,RB,Alfred Blue,Alfred,Blue,Ankle,,Out,Ankle,,Did Not Participate In Practice,2017-09-08T12:52:35Z
2017,REG,HOU,1,00-0033127,WR,Will Fuller,Will,Fuller,Shoulder,,Out,Shoulder,,Did Not Participate In Practice,2017-09-08T12:52:51Z
2017,REG,IND,1,00-0023500,RB,Frank Gore,Frank,Gore,,,,Not Injury Related,,Did Not Participate In Practice,2017-09-07T13:55:42Z
2017,REG,IND,1,00-0027001,CB,Vontae Davis,Vontae,Davis,Groin,,Out,Groin,,Did Not Participate In Practice,2017-09-08T12:14:54Z
2017,REG,IND,1,00-0032383,C,Ryan Kelly,Ryan,Kelly,Foot,,Out,Foot,,Did Not Participate In Practice,2017-09-08T12:15:02Z
2017,REG,IND,1,00-0029668,QB,Andrew Luck,Andrew,Luck,right Shoulder,,Out,right Shoulder,,Did Not Participate In Practice,2017-09-08T12:15:11Z
2017,REG,IND,1,00-0032355,WR,Chester Rogers,Chester,Rogers,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2017-09-08T12:15:20Z
2017,REG,IND,1,00-0032067,G,Ian Silberman,Ian,Silberman,Lumbar,,Out,Lumbar,,Did Not Participate In Practice,2017-09-08T12:15:31Z
2017,REG,JAX,1,00-0032154,DT,Michael Bennett,Michael,Bennett,,,,Groin,,Full Participation in Practice,2017-09-08T09:44:35Z
2017,REG,JAX,1,00-0031407,QB,Blake Bortles,Blake,Bortles,,,,right Wrist,,Full Participation in Practice,2017-09-08T09:44:35Z
2017,REG,JAX,1,00-0032052,DE,Dante Fowler,Dante,Fowler,,,,Knee,,Full Participation in Practice,2017-09-08T09:44:35Z
2017,REG,JAX,1,00-0033055,CB,Jalen Ramsey,Jalen,Ramsey,,,,Hip,,Full Participation in Practice,2017-09-08T09:44:35Z
2017,REG,JAX,1,00-0030829,T,Josh Wells,Josh,Wells,,,,Ribs,,Full Participation in Practice,2017-09-08T09:44:35Z
2017,REG,JAX,1,00-0033839,WR,Dede Westbrook,Dede,Westbrook,Core Muscle Injury,,Out,Core Muscle Injury,,Did Not Participate In Practice,2017-09-08T09:45:48Z
2017,REG,JAX,1,00-0028924,S,Tashaun Gipson,Tashaun,Gipson,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2017-09-08T09:45:15Z
2017,REG,JAX,1,00-0032209,RB,T.J. Yeldon,T.J.,Yeldon,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2017-09-08T09:45:01Z
2017,REG,KC,1,00-0030506,TE,Travis Kelce,Travis,Kelce,,,,Calf,,Full Participation in Practice,2017-09-06T08:51:26Z
2017,REG,KC,1,00-0030507,DT,Bennie Logan,Bennie,Logan,,,,Knee,,Full Participation in Practice,2017-09-06T08:51:15Z
2017,REG,KC,1,00-0031097,CB,Terrance Mitchell,Terrance,Mitchell,,,,Hamstring,,Full Participation in Practice,2017-09-06T08:51:15Z
2017,REG,KC,1,00-0031203,K,Cairo Santos,Cairo,Santos,,,,right Groin,,Full Participation in Practice,2017-09-06T08:51:15Z
2017,REG,KC,1,00-0032771,G,Parker Ehinger,Parker,Ehinger,Knee,,Doubtful,Knee,,Full Participation in Practice,2017-09-06T08:51:54Z
2017,REG,KC,1,00-0033058,LB,Reggie Ragland,Reggie,Ragland,Knee,,Doubtful,Knee,,Full Participation in Practice,2017-09-06T08:52:17Z
2017,REG,KC,1,00-0028445,S,Ron Parker,Ron,Parker,Ankle,,Questionable,Ankle,,Full Participation in Practice,2017-09-06T08:51:45Z
2017,REG,LAC,1,00-0033536,WR,Mike Williams,Mike,Williams,Back,,Out,Back,,Did Not Participate In Practice,2017-09-09T12:36:53Z
2017,REG,LAC,1,00-0031258,DE,Jeremiah Attaochu,Jeremiah,Attaochu,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2017-09-09T12:37:27Z
2017,REG,LAC,1,00-0031261,S,Tre Boston,Tre,Boston,Calf,,Questionable,Calf,,Limited Participation in Practice,2017-09-09T12:38:06Z
2017,REG,LAC,1,00-0028411,WR,Dontrelle Inman,Dontrelle,Inman,Groin,,Questionable,Groin,,Limited Participation in Practice,2017-09-09T12:37:46Z
2017,REG,LAC,1,00-0029391,TE,Sean McGrath,Sean,McGrath,Knee,,Questionable,Knee,,Limited Participation in Practice,2017-09-09T12:36:32Z
2017,REG,MIN,1,00-0031799,S,Anthony Harris,Anthony,Harris,,,,Quadricep,,Full Participation in Practice,2017-09-09T10:52:49Z
2017,REG,MIN,1,00-0025489,DE,Brian Robison,Brian,Robison,,,,Groin,,Full Participation in Practice,2017-09-09T10:53:34Z
2017,REG,MIN,1,00-0027547,CB,Marcus Sherels,Marcus,Sherels,,,,Foot,,Full Participation in Practice,2017-09-09T10:52:49Z
2017,REG,MIN,1,00-0033960,G,Danny Isidora,Danny,Isidora,Knee,,Out,Knee,,Limited Participation in Practice,2017-09-09T10:53:52Z
2017,REG,MIN,1,00-0027375,CB,Tramaine Brock,Tramaine,Brock,Groin,,Questionable,Groin,,Limited Participation in Practice,2017-09-09T10:53:38Z
2017,REG,NE,1,00-0032396,DT,Vincent Valentine,Vincent,Valentine,Knee,,Doubtful,Knee,,Did Not Participate In Practice,2017-09-06T13:06:00Z
2017,REG,NE,1,00-0033381,DT,Adam Butler,Adam,Butler,Knee,,Questionable,Knee,,Limited Participation in Practice,2017-09-06T13:05:49Z
2017,REG,NE,1,00-0029570,S,Nate Ebner,Nate,Ebner,Shoulder,,Questionable,Shoulder,,Limited Participation in Practice,2017-09-06T13:05:49Z
2017,REG,NE,1,00-0031067,T,Cameron Fleming,Cameron,Fleming,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2017-09-06T13:05:49Z
2017,REG,NE,1,00-0033392,LB,Harvey Langi,Harvey,Langi,Concussion,,Questionable,Concussion,,Limited Participation in Practice,2017-09-06T13:05:49Z
2017,REG,NE,1,00-0032400,WR,Malcolm Mitchell,Malcolm,Mitchell,Knee,,Questionable,Knee,,Limited Participation in Practice,2017-09-06T13:05:49Z
2017,REG,NE,1,00-0026293,WR,Matt Slater,Matt,Slater,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2017-09-06T13:05:49Z
2017,REG,NO,1,00-0021451,LS,Jon Dorenbos,Jon,Dorenbos,,,,Illness,,Did Not Participate In Practice,2017-09-08T12:51:31Z
2017,REG,NO,1,00-0026544,QB,Chase Daniel,Chase,Daniel,,,,Ankle,,Full Participation in Practice,2017-09-09T12:34:08Z
2017,REG,NO,1,00-0030067,T,Terron Armstead,Terron,Armstead,Shoulder,,Out,Shoulder,,Did Not Participate In Practice,2017-09-09T12:34:36Z
2017,REG,NO,1,00-0033935,DE,Trey Hendrickson,Trey,Hendrickson,Illness,,Out,Illness,,Did Not Participate In Practice,2017-09-09T12:35:51Z
2017,REG,NO,1,00-0029629,LB,Nathan Stupar,Nathan,Stupar,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2017-09-09T12:36:08Z
2017,REG,NO,1,00-0032102,LB,Stephone Anthony,Stephone,Anthony,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2017-09-09T12:34:24Z
2017,REG,NYG,1,00-0032379,CB,Eli Apple,Eli,Apple,,,,Ankle,,Full Participation in Practice,2017-09-08T09:25:56Z
2017,REG,NYG,1,00-0031403,DT,Jay Bromley,Jay,Bromley,,,,Knee,,Full Participation in Practice,2017-09-08T09:25:56Z
2017,REG,NYG,1,00-0032643,CB,Michael Hunter,Michael,Hunter,,,,Concussion,,Full Participation in Practice,2017-09-08T09:25:56Z
2017,REG,NYG,1,00-0030091,WR,Tavarres King,Tavarres,King,,,,Ankle,,Full Participation in Practice,2017-09-08T09:25:56Z
2017,REG,NYG,1,00-0033719,TE,Shane Smith,Shane,Smith,,,,Quadricep,,Full Participation in Practice,2017-09-08T09:25:56Z
