season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified
2013,REG,ARI,1,00-0028007,TE,Rob Housler,Rob,Housler,Ankle,,Out,Ankle,,Did Not Participate In Practice,2013-09-06T13:18:37Z
2013,REG,ARI,1,00-0026190,DE,Calais Campbell,Calais,Campbell,Quadricep,,Questionable,Quadricep,,Did Not Participate In Practice,2013-09-06T13:18:54Z
2013,REG,ARI,1,00-0027660,CB,Javier Arenas,Javier,Arenas,Hip,,Probable,Hip,,Full Participation in Practice,2013-09-06T13:18:29Z
2013,REG,ARI,1,00-0030287,RB,Andre Ellington,Andre,Ellington,Hamstring,,Probable,Hamstring,,Full Participation in Practice,2013-09-06T13:18:29Z
2013,REG,ARI,1,00-0030291,TE,D.C. Jefferson,D.C.,Jefferson,Knee,,Probable,Knee,,Full Participation in Practice,2013-09-06T13:18:29Z
2013,REG,ARI,1,00-0019435,LS,Mike Leach,Mike,Leach,Hamstring,,Probable,Hamstring,,Full Participation in Practice,2013-09-06T13:18:29Z
2013,REG,ARI,1,00-0026163,RB,Rashard Mendenhall,Rashard,Mendenhall,Knee,,Probable,Knee,,Full Participation in Practice,2013-09-06T13:18:29Z
2013,REG,ARI,1,00-0027877,DT,Dan Williams,Dan,Williams,Ankle,,Probable,Ankle,,Full Participation in Practice,2013-09-06T13:18:29Z
2013,REG,ARI,1,00-0027691,WR,Andre Roberts,Andre,Roberts,Quadricep,,Probable,Quadricep,,Limited Participation in Practice,2013-09-06T13:18:29Z
2013,REG,ATL,1,00-0025496,LB,Stephen Nicholas,Stephen,Nicholas,Thigh,,Questionable,Thigh,,Limited Participation in Practice,2013-09-06T10:31:47Z
2013,REG,ATL,1,00-0021956,CB,Asante Samuel,Asante,Samuel,Thigh,,Questionable,Thigh,,Limited Participation in Practice,2013-09-06T10:31:53Z
2013,REG,ATL,1,00-0023462,WR,Roddy White,Roddy,White,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2013-09-06T10:32:00Z
2013,REG,ATL,1,00-0020578,K,Matt Bryant,Matt,Bryant,Back,,Probable,Back,,Full Participation in Practice,2013-09-06T10:31:38Z
2013,REG,ATL,1,00-0027717,C,Joe Hawley,Joe,Hawley,Illness,,Probable,Illness,,Full Participation in Practice,2013-09-06T10:31:38Z
2013,REG,BAL,1,00-0027714,TE,Dennis Pitta,Dennis,Pitta,,,,Hip,,Out (Definitely Will Not Play),2013-09-03T12:16:30Z
2013,REG,BAL,1,00-0027756,DT,Arthur Jones,Arthur,Jones,Illness,,Out,Illness,,Out (Definitely Will Not Play),2013-09-04T13:19:30Z
2013,REG,BAL,1,00-0029895,C,Ryan Jensen,Ryan,Jensen,Foot,,Doubtful,Foot,,Did Not Participate In Practice,2013-09-04T13:19:21Z
2013,REG,BAL,1,00-0029388,WR,Deonte Thompson,Deonte,Thompson,Foot,,Doubtful,Foot,,Did Not Participate In Practice,2013-09-04T13:19:51Z
2013,REG,BAL,1,00-0030511,DT,Brandon Williams,Brandon,Williams,Toe,,Doubtful,Toe,,Did Not Participate In Practice,2013-09-04T13:19:59Z
2013,REG,BAL,1,00-0027675,TE,Ed Dickson,Ed,Dickson,Thigh,,Probable,Thigh,,Full Participation in Practice,2013-09-04T13:16:57Z
2013,REG,BAL,1,00-0028103,DE,Pernell McPhee,Pernell,McPhee,Knee,,Probable,Knee,,Full Participation in Practice,2013-09-04T13:16:57Z
2013,REG,BUF,1,00-0029542,CB,Stephon Gilmore,Stephon,Gilmore,Wrist,,Out,Wrist,,Did Not Participate In Practice,2013-09-06T09:39:55Z
2013,REG,BUF,1,00-0030098,K,Dustin Hopkins,Dustin,Hopkins,right Groin,,Out,right Groin,,Did Not Participate In Practice,2013-09-06T09:40:00Z
2013,REG,BUF,1,00-0025829,C,Doug Legursky,Doug,Legursky,Knee,,Out,Knee,,Did Not Participate In Practice,2013-09-06T09:40:06Z
2013,REG,BUF,1,00-0027018,S,Jairus Byrd,Jairus,Byrd,Foot,,Doubtful,Foot,,Limited Participation in Practice,2013-09-06T09:39:49Z
2013,REG,BUF,1,00-0030526,QB,E.J. Manuel,E.J.,Manuel,Knee,,Probable,Knee,,Full Participation in Practice,2013-09-06T09:36:51Z
2013,REG,CAR,1,00-0030465,RB,Kenjon Barner,Kenjon,Barner,Foot,,Out,Foot,,Did Not Participate In Practice,2013-09-06T11:37:13Z
2013,REG,CAR,1,00-0028694,CB,James Dockery,James,Dockery,Thumb,,Out,Thumb,,Limited Participation in Practice,2013-09-06T11:37:22Z
2013,REG,CAR,1,00-0027023,S,Michael Mitchell,Michael,Mitchell,Calf,,Doubtful,Calf,,Did Not Participate In Practice,2013-09-06T11:37:58Z
2013,REG,CAR,1,00-0022750,DT,Dwan Edwards,Dwan,Edwards,Thigh,,Questionable,Thigh,,Did Not Participate In Practice,2013-09-06T11:37:35Z
2013,REG,CAR,1,00-0024345,WR,Domenik Hixon,Domenik,Hixon,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2013-09-06T11:37:52Z
2013,REG,CAR,1,00-0029254,G,Amini Silatolu,Amini,Silatolu,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2013-09-06T11:38:04Z
2013,REG,CAR,1,00-0025412,LB,Jon Beason,Jon,Beason,Knee,,Probable,Knee,,Full Participation in Practice,2013-09-06T11:37:08Z
2013,REG,CAR,1,00-0022847,TE,Ben Hartsock,Ben,Hartsock,Foot,,Probable,Foot,,Full Participation in Practice,2013-09-06T11:37:08Z
2013,REG,CAR,1,00-0026069,RB,Mike Tolbert,Mike,Tolbert,Hamstring,,Probable,Hamstring,,Full Participation in Practice,2013-09-06T11:37:08Z
2013,REG,CIN,1,00-0027697,CB,Brandon Ghee,Brandon,Ghee,Concussion,,Out,Concussion,,Did Not Participate In Practice,2013-09-06T10:22:27Z
2013,REG,CIN,1,00-0026199,G,Mike Pollak,Mike,Pollak,Knee,,Out,Knee,,Did Not Participate In Practice,2013-09-06T10:22:34Z
2013,REG,CIN,1,00-0024270,T,Andrew Whitworth,Andrew,Whitworth,Knee,,Doubtful,Knee,,Did Not Participate In Practice,2013-09-06T10:22:44Z
2013,REG,CIN,1,00-0027662,DE,Carlos Dunlap,Carlos,Dunlap,Concussion,,Probable,Concussion,,Full Participation in Practice,2013-09-06T10:21:37Z
2013,REG,CIN,1,00-0030549,TE,Tyler Eifert,Tyler,Eifert,Forearm,,Probable,Forearm,,Full Participation in Practice,2013-09-06T10:21:37Z
2013,REG,CIN,1,00-0029560,CB,Dre Kirkpatrick,Dre,Kirkpatrick,Concussion,,Probable,Concussion,,Full Participation in Practice,2013-09-06T10:21:37Z
2013,REG,CIN,1,00-0026982,T,Andre Smith,Andre,Smith,Knee,,Probable,Knee,,Full Participation in Practice,2013-09-06T10:21:37Z
2013,REG,CIN,1,00-0029258,DT,Devon Still,Devon,Still,Knee,,Probable,Knee,,Full Participation in Practice,2013-09-06T10:21:37Z
2013,REG,CLE,1,00-0026281,TE,Gary Barnidge,Gary,Barnidge,,,,Shoulder,,Full Participation in Practice,2013-09-04T12:52:24Z
2013,REG,CLE,1,00-0030476,G,Garrett Gilkey,Garrett,Gilkey,,,,Shoulder,,Full Participation in Practice,2013-09-04T12:53:28Z
2013,REG,CLE,1,00-0029266,DT,John Hughes,John,Hughes,,,,Knee,,Full Participation in Practice,2013-09-04T12:54:15Z
2013,REG,CLE,1,00-0030558,LB,Barkevious Mingo,Barkevious,Mingo,Lung,,Out,Lung,,Limited Participation in Practice,2013-09-06T10:46:29Z
2013,REG,CLE,1,00-0027694,G,Shawn Lauvao,Shawn,Lauvao,Ankle,,Out,Ankle,,Out (Definitely Will Not Play),2013-09-06T10:46:11Z
2013,REG,CLE,1,00-0026330,DE,Ahtyba Rubin,Ahtyba,Rubin,Calf,,Questionable,Calf,,Did Not Participate In Practice,2013-09-06T10:47:50Z
2013,REG,CLE,1,00-0028075,CB,Buster Skrine,Buster,Skrine,Shoulder,,Questionable,Shoulder,,Did Not Participate In Practice,2013-09-06T10:47:16Z
2013,REG,CLE,1,00-0026000,WR,Davone Bess,Davone,Bess,Knee,,Probable,Knee,,Full Participation in Practice,2013-09-06T10:45:41Z
2013,REG,CLE,1,00-0026533,DE,Desmond Bryant,Desmond,Bryant,Back,,Probable,Back,,Full Participation in Practice,2013-09-06T10:45:54Z
2013,REG,CLE,1,00-0028040,TE,Jordan Cameron,Jordan,Cameron,Groin,,Probable,Groin,,Full Participation in Practice,2013-09-06T10:46:02Z
2013,REG,CLE,1,00-0030219,LB,Eric Martin,Eric,Martin,Foot,,Probable,Foot,,Full Participation in Practice,2013-09-06T10:46:46Z
2013,REG,CLE,1,00-0027062,CB,Christopher Owens,Christopher,Owens,Foot,,Probable,Foot,,Full Participation in Practice,2013-09-06T10:45:23Z
2013,REG,CLE,1,00-0027975,LB,Jabaal Sheard,Jabaal,Sheard,Illness,,Probable,Illness,,Full Participation in Practice,2013-09-06T10:45:23Z
2013,REG,DAL,1,00-0029491,DE,Ben Bass,Ben,Bass,Shoulder,,Out,Shoulder,,Did Not Participate In Practice,2013-09-06T11:59:21Z
2013,REG,DAL,1,00-0029004,RB,Lance Dunbar,Lance,Dunbar,Foot,,Out,Foot,,Did Not Participate In Practice,2013-09-06T11:59:29Z
2013,REG,DAL,1,00-0027422,S,Danny McCray,Danny,McCray,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2013-09-06T11:59:37Z
2013,REG,DAL,1,00-0025413,DE,Anthony Spencer,Anthony,Spencer,Knee,,Doubtful,Knee,,Did Not Participate In Practice,2013-09-06T11:59:43Z
2013,REG,DAL,1,00-0029010,G,Ronald Leary,Ronald,Leary,Knee,,Probable,Knee,,Full Participation in Practice,2013-09-06T11:59:14Z
2013,REG,DEN,1,00-0029854,RB,C.J. Anderson,C.J.,Anderson,Knee,,Out,Knee,,Did Not Participate In Practice,2013-09-04T12:56:39Z
2013,REG,DEN,1,00-0000585,CB,Champ Bailey,Champ,Bailey,Foot,,Out,Foot,,Did Not Participate In Practice,2013-09-04T12:56:31Z
2013,REG,DEN,1,00-0023630,TE,Joel Dreessen,Joel,Dreessen,Knee,,Out,Knee,,Did Not Participate In Practice,2013-09-04T12:57:26Z
2013,REG,DEN,1,00-0024375,G,Chris Kuper,Chris,Kuper,Ankle,,Doubtful,Ankle,,Limited Participation in Practice,2013-09-04T12:57:58Z
2013,REG,DEN,1,00-0026994,DE,Robert Ayers,Robert,Ayers,Achilles,,Probable,Achilles,,Full Participation in Practice,2013-09-04T12:56:13Z
2013,REG,DEN,1,00-0026152,T,Ryan Clady,Ryan,Clady,Shoulder,,Probable,Shoulder,,Full Participation in Practice,2013-09-04T12:56:13Z
2013,REG,DEN,1,00-0029682,QB,Brock Osweiler,Brock,Osweiler,left Shoulder,,Probable,left Shoulder,,Full Participation in Practice,2013-09-04T12:56:13Z
2013,REG,DEN,1,00-0022427,WR,Wes Welker,Wes,Welker,Ankle,,Probable,Ankle,,Full Participation in Practice,2013-09-04T12:56:13Z
2013,REG,DET,1,00-0027009,S,Louis Delmas,Louis,Delmas,Knee,,Probable,Knee,,Did Not Participate In Practice,2013-09-06T13:00:30Z
2013,REG,DET,1,00-0026194,DE,Jason Jones,Jason,Jones,Knee,,Probable,Knee,,Did Not Participate In Practice,2013-09-06T13:01:09Z
2013,REG,DET,1,00-0030059,DE,Ezekiel Ansah,Ezekiel,Ansah,Concussion,,Probable,Concussion,,Full Participation in Practice,2013-09-06T13:00:44Z
2013,REG,GB,1,00-0029261,CB,Casey Hayward,Casey,Hayward,Hamstring,,Out,Hamstring,,Out (Definitely Will Not Play),2013-09-06T13:45:32Z
2013,REG,GB,1,00-0027676,S,Morgan Burnett,Morgan,Burnett,Hamstring,,Questionable,Hamstring,,Did Not Participate In Practice,2013-09-06T13:44:54Z
