season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified
2019,REG,ARI,1,00-0022161,LB,Terrell Suggs,Terrell,Suggs,,,,Not Injury Related,,Did Not Participate In Practice,2019-09-06T13:36:21Z
2019,REG,ARI,1,00-0035536,G,Lamont Gaillard,Lamont,Gaillard,Knee,,Out,Knee,,Did Not Participate In Practice,2019-09-06T13:36:43Z
2019,REG,ARI,1,00-0028001,T,Marcus Gilbert,Marcus,Gilbert,Knee,,Out,Knee,,Did Not Participate In Practice,2019-09-06T13:36:51Z
2019,REG,ARI,1,00-0033875,LB,Haason Reddick,Haason,Reddick,Knee,,Questionable,Knee,,Limited Participation in Practice,2019-09-06T13:36:32Z
2019,REG,ARI,1,00-0034490,LB,Ezekiel Turner,Ezekiel,Turner,Hand,,Questionable,Hand,,Limited Participation in Practice,2019-09-06T13:36:32Z
2019,REG,ATL,1,00-0027944,WR,Julio Jones,Julio,Jones,,,,Not Injury Related,,Limited Participation in Practice,2019-09-05T13:28:12Z
2019,REG,ATL,1,00-0034140,T,Matt Gono,Matt,Gono,Back,,Out,Back,,Did Not Participate In Practice,2019-09-06T10:50:29Z
2019,REG,BAL,1,00-0035662,WR,Marquise Brown,Marquise,Brown,Foot,,Questionable,Foot,,Did Not Participate In Practice,2019-09-06T11:17:05Z
2019,REG,BAL,1,00-0026280,CB,Brandon Carr,Brandon,Carr,Hip,,Questionable,Hip,,Full Participation in Practice,2019-09-06T11:17:05Z
2019,REG,BAL,1,00-0032390,CB,Cyrus Jones,Cyrus,Jones,Finger,,Questionable,Finger,,Full Participation in Practice,2019-09-06T11:17:05Z
2019,REG,BAL,1,00-0033376,RB,Patrick Ricard,Patrick,Ricard,Foot,,Questionable,Foot,,Full Participation in Practice,2019-09-06T11:17:05Z
2019,REG,BUF,1,00-0027691,WR,Andre Roberts,Andre,Roberts,Quadricep,,Out,Quadricep,,Did Not Participate In Practice,2019-09-06T12:20:37Z
2019,REG,BUF,1,00-0032214,TE,Tyler Kroft,Tyler,Kroft,Foot,,Doubtful,Foot,,Limited Participation in Practice,2019-09-06T12:20:42Z
2019,REG,CAR,1,00-0031362,G,Trai Turner,Trai,Turner,,,,Groin,,Full Participation in Practice,2019-09-06T11:14:10Z
2019,REG,CAR,1,00-0029193,DE,Bruce Irvin,Bruce,Irvin,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2019-09-06T11:14:21Z
2019,REG,CAR,1,00-0035694,T,Greg Little,Greg,Little,Concussion,,Out,Concussion,,Did Not Participate In Practice,2019-09-06T11:14:25Z
2019,REG,CHI,1,00-0030710,TE,Trey Burton,Trey,Burton,Groin,,Questionable,Groin,,Limited Participation in Practice,2019-09-04T09:56:48Z
2019,REG,CHI,1,00-0033631,T,Rashaad Coward,Rashaad,Coward,Elbow,,Questionable,Elbow,,Limited Participation in Practice,2019-09-04T09:56:48Z
2019,REG,CHI,1,00-0034387,DT,Bilal Nichols,Bilal,Nichols,Knee,,Questionable,Knee,,Limited Participation in Practice,2019-09-04T09:56:48Z
2019,REG,CIN,1,00-0034394,DT,Andrew Brown,Andrew,Brown,,,,Quadricep,,Full Participation in Practice,2019-09-06T12:05:39Z
