season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified
2015,REG,ARI,1,00-0029740,TE,Ifeanyi Momah,Ifeanyi,Momah,,,,Knee,,Did Not Participate In Practice,2015-09-09T14:14:17Z
2015,REG,ARI,1,00-0027869,G,Mike Iupati,Mike,Iupati,Knee,,Out,Knee,,Did Not Participate In Practice,2015-09-11T13:06:02Z
2015,REG,ARI,1,00-0029638,WR,Michael Floyd,Michael,Floyd,Hand,,Questionable,Hand,,Limited Participation in Practice,2015-09-11T13:05:52Z
2015,REG,ARI,1,00-0027873,TE,Jermaine Gresham,Jermaine,Gresham,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2015-09-11T13:05:57Z
2015,REG,ARI,1,00-0031044,TE,Troy Niklas,Troy,Niklas,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2015-09-11T13:06:07Z
2015,REG,ATL,1,00-0024272,WR,Devin Hester,Devin,Hester,Toe,,Out,Toe,,Did Not Participate In Practice,2015-09-12T11:20:43Z
2015,REG,ATL,1,00-0027980,LB,Brooks Reed,Brooks,Reed,Groin,,Out,Groin,,Did Not Participate In Practice,2015-09-12T11:20:37Z
2015,REG,ATL,1,00-0029770,LB,Joplo Bartu,Joplo,Bartu,Quadricep,,Probable,Quadricep,,Full Participation in Practice,2015-09-12T11:20:26Z
2015,REG,ATL,1,00-0031285,RB,Devonta Freeman,Devonta,Freeman,Hamstring,,Probable,Hamstring,,Full Participation in Practice,2015-09-12T11:20:26Z
2015,REG,ATL,1,00-0031279,T,Jake Matthews,Jake,Matthews,Back,,Probable,Back,,Full Participation in Practice,2015-09-12T11:20:26Z
2015,REG,ATL,1,00-0031680,S,Robenson Therezie,Robenson,Therezie,Groin,,Probable,Groin,,Full Participation in Practice,2015-09-12T11:20:26Z
2015,REG,ATL,1,00-0023462,WR,Roddy White,Roddy,White,Elbow,,Probable,Elbow,,Full Participation in Practice,2015-09-12T11:20:26Z
2015,REG,BAL,1,00-0032054,WR,Breshad Perriman,Breshad,Perriman,Knee,,Out,Knee,,Did Not Participate In Practice,2015-09-11T11:45:22Z
2015,REG,BAL,1,00-0031066,RB,Lorenzo Taliaferro,Lorenzo,Taliaferro,Knee,,Out,Knee,,Limited Participation in Practice,2015-09-11T11:45:29Z
2015,REG,BAL,1,00-0031170,DT,Timmy Jernigan,Timmy,Jernigan,Knee,,Doubtful,Knee,,Limited Participation in Practice,2015-09-11T11:45:06Z
2015,REG,BAL,1,00-0029901,CB,Rashaan Melvin,Rashaan,Melvin,Thigh,,Doubtful,Thigh,,Limited Participation in Practice,2015-09-11T11:45:14Z
2015,REG,BAL,1,00-0023566,DE,Chris Canty,Chris,Canty,Not Injury Related,,Probable,Not Injury Related,,Full Participation in Practice,2015-09-11T11:44:22Z
2015,REG,BAL,1,00-0022839,LB,Daryl Smith,Daryl,Smith,Not Injury Related,,Probable,Not Injury Related,,Full Participation in Practice,2015-09-11T11:44:22Z
2015,REG,BUF,1,00-0030068,WR,Marquise Goodwin,Marquise,Goodwin,Ribs,,Out,Ribs,,Did Not Participate In Practice,2015-09-11T10:53:28Z
2015,REG,BUF,1,00-0032189,LB,Tony Steward,Tony,Steward,Knee,,Out,Knee,,Did Not Participate In Practice,2015-09-11T10:53:39Z
2015,REG,BUF,1,00-0028112,TE,Charles Clay,Charles,Clay,Knee,,Probable,Knee,,Full Participation in Practice,2015-09-11T10:53:14Z
2015,REG,BUF,1,00-0026998,WR,Percy Harvin,Percy,Harvin,Hip,,Probable,Hip,,Full Participation in Practice,2015-09-11T10:53:14Z
2015,REG,BUF,1,00-0028237,WR,Chris Hogan,Chris,Hogan,Knee,,Probable,Knee,,Full Participation in Practice,2015-09-11T10:53:14Z
2015,REG,BUF,1,00-0027029,RB,LeSean McCoy,LeSean,McCoy,Hamstring,,Probable,Hamstring,,Full Participation in Practice,2015-09-11T10:53:14Z
2015,REG,BUF,1,00-0031325,WR,Sammy Watkins,Sammy,Watkins,Hamstring,,Probable,Hamstring,,Full Participation in Practice,2015-09-11T10:53:14Z
2015,REG,BUF,1,00-0023750,DE,Mario Williams,Mario,Williams,Calf,,Probable,Calf,,Full Participation in Practice,2015-09-11T10:53:14Z
2015,REG,BUF,1,00-0030431,WR,Robert Woods,Robert,Woods,Hip,,Probable,Hip,,Full Participation in Practice,2015-09-11T10:53:14Z
2015,REG,CAR,1,00-0027583,TE,Richie Brockel,Richie,Brockel,Shoulder,,Out,Shoulder,,Did Not Participate In Practice,2015-09-11T11:19:30Z
2015,REG,CAR,1,00-0029400,T,Nate Chandler,Nate,Chandler,Knee,,Out,Knee,,Did Not Participate In Practice,2015-09-11T11:19:38Z
2015,REG,CAR,1,00-0030455,DT,Star Lotulelei,Star,Lotulelei,Foot,,Out,Foot,,Did Not Participate In Practice,2015-09-11T11:19:46Z
2015,REG,CAR,1,00-0025446,C,Ryan Kalil,Ryan,Kalil,Knee,,Probable,Knee,,Full Participation in Practice,2015-09-11T11:19:17Z
2015,REG,CAR,1,00-0029285,CB,Josh Norman,Josh,Norman,Concussion,,Probable,Concussion,,Full Participation in Practice,2015-09-11T11:19:17Z
2015,REG,CAR,1,00-0027853,CB,Teddy Williams,Teddy,Williams,Groin,,Probable,Groin,,Full Participation in Practice,2015-09-11T11:19:17Z
2015,REG,CHI,1,00-0028041,LB,Sam Acho,Sam,Acho,Illness,,Out,Illness,,Did Not Participate In Practice,2015-09-11T13:14:09Z
2015,REG,CHI,1,00-0026180,CB,Tracy Porter,Tracy,Porter,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2015-09-11T13:14:18Z
2015,REG,CHI,1,00-0030064,LB,Jon Bostic,Jon,Bostic,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2015-09-11T13:14:29Z
2015,REG,CHI,1,00-0029137,WR,Alshon Jeffery,Alshon,Jeffery,Calf,,Questionable,Calf,,Limited Participation in Practice,2015-09-11T13:14:39Z
2015,REG,CHI,1,00-0026182,WR,Eddie Royal,Eddie,Royal,Hip,,Questionable,Hip,,Limited Participation in Practice,2015-09-11T13:14:48Z
2015,REG,CHI,1,00-0030047,WR,Marquess Wilson,Marquess,Wilson,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2015-09-11T13:14:57Z
2015,REG,CHI,1,00-0025512,T,Jermon Bushrod,Jermon,Bushrod,Back,,Probable,Back,,Did Not Participate In Practice,2015-09-11T13:15:17Z
2015,REG,CHI,1,00-0027659,QB,Jimmy Clausen,Jimmy,Clausen,Concussion,,Probable,Concussion,,Full Participation in Practice,2015-09-11T13:13:53Z
2015,REG,CHI,1,00-0031551,DT,Eddie Goldman,Eddie,Goldman,Concussion,,Probable,Concussion,,Full Participation in Practice,2015-09-11T13:13:53Z
2015,REG,CIN,1,00-0032169,DT,Marcus Hardison,Marcus,Hardison,Knee,,Out,Knee,,Did Not Participate In Practice,2015-09-11T10:55:37Z
2015,REG,CIN,1,00-0032168,CB,Josh Shaw,Josh,Shaw,Groin,,Questionable,Groin,,Did Not Participate In Practice,2015-09-11T10:55:47Z
2015,REG,CIN,1,00-0031380,CB,Darqueze Dennard,Darqueze,Dennard,Groin,,Probable,Groin,,Full Participation in Practice,2015-09-11T10:55:21Z
2015,REG,CIN,1,00-0027662,DE,Carlos Dunlap,Carlos,Dunlap,Illness,,Probable,Illness,,Full Participation in Practice,2015-09-11T10:55:21Z
2015,REG,CIN,1,00-0025405,CB,Leon Hall,Leon,Hall,Back,,Probable,Back,,Full Participation in Practice,2015-09-11T10:55:21Z
2015,REG,CIN,1,00-0027044,DE,Michael Johnson,Michael,Johnson,Knee,,Probable,Knee,,Full Participation in Practice,2015-09-11T10:55:21Z
2015,REG,CIN,1,00-0029479,LB,Emmanuel Lamur,Emmanuel,Lamur,Hamstring,,Probable,Hamstring,,Full Participation in Practice,2015-09-11T10:55:21Z
2015,REG,CIN,1,00-0025408,S,Reggie Nelson,Reggie,Nelson,Groin,,Probable,Groin,,Full Participation in Practice,2015-09-11T10:55:21Z
2015,REG,CIN,1,00-0024270,T,Andrew Whitworth,Andrew,Whitworth,Back,,Probable,Back,,Full Participation in Practice,2015-09-11T10:55:21Z
2015,REG,CLE,1,00-0028825,WR,Terrelle Pryor,Terrelle,Pryor,,,,Hamstring,,Full Participation in Practice,2015-09-10T12:41:02Z
2015,REG,CLE,1,00-0025390,T,Joe Thomas,Joe,Thomas,,,,Not Injury Related,,Full Participation in Practice,2015-09-11T10:51:45Z
2015,REG,CLE,1,00-0029273,RB,Robert Turbin,Robert,Turbin,Ankle,,Out,,,"
    ",2015-09-11T10:54:13Z
2015,REG,CLE,1,00-0025410,WR,Dwayne Bowe,Dwayne,Bowe,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2015-09-11T10:52:31Z
2015,REG,CLE,1,00-0031438,CB,Justin Gilbert,Justin,Gilbert,Hip,,Questionable,Hip,,Limited Participation in Practice,2015-09-11T10:52:41Z
2015,REG,CLE,1,00-0030558,LB,Barkevious Mingo,Barkevious,Mingo,Knee,,Questionable,Knee,,Limited Participation in Practice,2015-09-11T10:52:55Z
2015,REG,CLE,1,00-0031556,LB,Nate Orchard,Nate,Orchard,Back,,Questionable,Back,,Limited Participation in Practice,2015-09-11T10:53:08Z
2015,REG,CLE,1,00-0031253,CB,K'Waun Williams,K'Waun,Williams,Abdomen,,Questionable,Abdomen,,Limited Participation in Practice,2015-09-11T10:53:51Z
2015,REG,CLE,1,00-0031331,CB,Pierre Desir,Pierre,Desir,Concussion,,Probable,Concussion,,Full Participation in Practice,2015-09-11T10:52:19Z
2015,REG,CLE,1,00-0027860,CB,Joe Haden,Joe,Haden,Hip,,Probable,Hip,,Full Participation in Practice,2015-09-11T10:52:19Z
2015,REG,CLE,1,00-0032257,RB,Duke Johnson,Duke,Johnson,Concussion,,Probable,Concussion,,Full Participation in Practice,2015-09-11T10:52:19Z
2015,REG,CLE,1,00-0031361,LB,Christian Kirksey,Christian,Kirksey,Groin,,Probable,Groin,,Full Participation in Practice,2015-09-11T10:52:19Z
2015,REG,CLE,1,00-0031409,QB,Johnny Manziel,Johnny,Manziel,right Elbow,,Probable,right Elbow,,Full Participation in Practice,2015-09-11T10:52:19Z
2015,REG,CLE,1,00-0027356,WR,Marlon Moore,Marlon,Moore,Rib,,Probable,Rib,,Full Participation in Practice,2015-09-11T10:52:19Z
2015,REG,CLE,1,00-0029253,T,Mitchell Schwartz,Mitchell,Schwartz,Thumb,,Probable,Thumb,,Full Participation in Practice,2015-09-11T10:52:19Z
2015,REG,DAL,1,00-0027902,WR,Dez Bryant,Dez,Bryant,Hamstring,,Probable,Hamstring,,Full Participation in Practice,2015-09-11T11:55:31Z
2015,REG,DAL,1,00-0029634,TE,James Hanna,James,Hanna,Knee,,Probable,Knee,,Full Participation in Practice,2015-09-11T11:55:31Z
2015,REG,DAL,1,00-0031348,LB,Anthony Hitchens,Anthony,Hitchens,Foot,,Probable,Foot,,Full Participation in Practice,2015-09-11T11:55:31Z
2015,REG,DAL,1,00-0031402,G,Zack Martin,Zack,Martin,Neck,,Probable,Neck,,Full Participation in Practice,2015-09-11T11:55:31Z
2015,REG,DAL,1,00-0027422,S,Danny McCray,Danny,McCray,Neck,,Probable,Neck,,Full Participation in Practice,2015-09-11T11:55:31Z
2015,REG,DAL,1,00-0030046,T,Jordan Mills,Jordan,Mills,Foot,,Probable,Foot,,Full Participation in Practice,2015-09-11T11:55:31Z
2015,REG,DAL,1,00-0021678,QB,Tony Romo,Tony,Romo,Back,,Probable,Back,,Full Participation in Practice,2015-09-11T11:55:31Z
2015,REG,DAL,1,00-0031310,WR,Devin Street,Devin,Street,Ankle,,Probable,Ankle,,Full Participation in Practice,2015-09-11T11:55:31Z
2015,REG,DAL,1,00-0029677,QB,Brandon Weeden,Brandon,Weeden,Concussion,,Probable,Concussion,,Full Participation in Practice,2015-09-11T11:55:31Z
2015,REG,DAL,1,00-0030543,S,J.J. Wilcox,J.J.,Wilcox,Neck,,Probable,Neck,,Full Participation in Practice,2015-09-11T11:55:31Z
2015,REG,DEN,1,00-0030677,DE,Kenny Anunike,Kenny,Anunike,Knee,,Out,Knee,,Did Not Participate In Practice,2015-09-11T11:50:29Z
2015,REG,DEN,1,00-0029799,LB,Lerentee McCray,Lerentee,McCray,Groin,,Questionable,Groin,,Limited Participation in Practice,2015-09-11T11:50:49Z
2015,REG,DEN,1,00-0029563,S,Omar Bolden,Omar,Bolden,Rib cage,,Probable,Rib cage,,Full Participation in Practice,2015-09-11T11:50:36Z
2015,REG,DEN,1,00-0026237,WR,Andre Caldwell,Andre,Caldwell,Illness,,Probable,Illness,,Full Participation in Practice,2015-09-11T11:50:41Z
2015,REG,DEN,1,00-0031831,TE,Mitchell Henry,Mitchell,Henry,Finger,,Probable,Finger,,Full Participation in Practice,2015-09-11T11:49:50Z
